id,Name,Agent.type,Human.classification,Animal.classification,Security.sensitive.biological.agent,Terrestrial.animal.pathogen.under.Canadian.Food.Inspection.Agency.authority,Containment.level,Considerations.for.containment,Agent.created.date,Agent.last.modified.date,Alternate.names,taxID
5a54caf3-6105-e611-80f4-0050568253d3,Alphainfluenzavirus influenzae H1N1 reconstructed 1918 strain,Virus,RG4,RG4,Yes,Yes,Containment Level 4,"Activities with Influenza A viruses are to be carried out in accordance with the Biosafety Directive for New and Emerging Influenza A Viruses, as amended from time to time: https://www.canada.ca/en/public-health/services/laboratory-biosafety-biosecurity/biosafety-directives-advisories-notifications.html",2016-04-18 12:34,2024-07-24 17:25,Influenza A virus H1N1 reconstructed 1918 strain,NA
1e1250e5-5f94-e511-814c-000c2902c387,Alphainfluenzavirus influenzae H5N1 transmissible engineered strain,Virus,RG4,RG4,Yes,Yes,Containment Level 4,"Activities with Influenza A viruses are to be carried out in accordance with the Biosafety Directive for New and Emerging Influenza A Viruses, as amended from time to time: https://www.canada.ca/en/public-health/services/laboratory-biosafety-biosecurity/biosafety-directives-advisories-notifications.html",2015-11-29 7:12,2024-07-24 17:29,Influenza A H5N1 transmissible engineered strain,NA
4454b40e-4ccc-ea11-8141-0050568253d3,Dianlovirus menglaense,Virus,RG4,RG4,No,Yes,Containment Level 4,,2020-07-22 18:49,2023-12-04 13:23,"Mengla dianlovirus,Mengla virus",3052181
e3906bc1-5f94-e511-814c-000c2902c387,Ebolaviruses,Virus,RG4,RG4,Yes,Yes,Containment Level 4,,2015-11-29 7:12,2018-03-23 18:08,,186536
7b1d5fd9-5f94-e511-814c-000c2902c387,Henipavirus hendraense,Virus,RG4,RG4,Yes,Yes,Containment Level 4,,2015-11-29 7:12,2024-03-11 17:54,"Hendra henipavirus,Hendra virus,Equine morbillivirus",3052223
43702a09-6094-e511-814c-000c2902c387,Henipavirus nipahense,Virus,RG4,RG4,Yes,Yes,Containment Level 4,,2015-11-29 7:12,2024-04-02 13:07,"Nipah henipavirus,Nipah virus",3052225
d54f0c27-6094-e511-814c-000c2902c387,Mammarenavirus brazilense,Virus,RG4,RG4,Yes,Yes,Containment Level 4,,2015-11-29 7:12,2024-01-16 14:05,"Sabia mammarenavirus,Sabia virus",3052299
27c36dbb-5f94-e511-814c-000c2902c387,Mammarenavirus chapareense,Virus,RG4,RG2,Yes,No,Containment Level 4,,2015-11-29 7:12,2024-11-11 21:18,Chapare virus,3052302
1c965cd3-5f94-e511-814c-000c2902c387,Mammarenavirus guanaritoense,Virus,RG4,RG4,Yes,Yes,Containment Level 4,,2015-11-29 7:12,2023-11-09 13:55,"Guanarito virus,Guanarito mammarenavirus",3052307
563647eb-5f94-e511-814c-000c2902c387,Mammarenavirus juninense,Virus,RG4,RG4,Yes,Yes,Containment Level 4,,2015-11-29 7:12,2024-03-06 18:19,"Junin mammarenavirus,Junin virus",2169991
727341f1-5f94-e511-814c-000c2902c387,Mammarenavirus lassaense,Virus,RG4,RG4,Yes,Yes,Containment Level 4,,2015-11-29 7:12,2024-03-11 17:08,"Lassa mammarenavirus,Lassa virus",3052310
9adf3cf7-5f94-e511-814c-000c2902c387,Mammarenavirus lujoense,Virus,RG4,RG4,Yes,No,,,2015-11-29 7:12,2024-03-18 18:54,"Lujo mammarenavirus,Lujo virus",3052314
f9e03cf7-5f94-e511-814c-000c2902c387,Mammarenavirus machupoense,Virus,RG4,RG2,Yes,No,Containment Level 4,,2015-11-29 7:12,2025-05-08 16:44,"Machupo virus,Machupo mammarenavirus",3052317
a74f0c27-6094-e511-814c-000c2902c387,Orthoflavivirus encephalitidis,Virus,RG4,RG4,Yes,Yes,,,2015-11-29 7:12,2024-08-23 14:57,"Tick-borne encephalitis virus,Hypr virus,Hanzalova virus,Negishi virus,Russian spring-summer encephalitis virus,Abbsettarov virus,Kumlinge virus",3052465
8bab899d-5f94-e511-814c-000c2902c387,Orthoflavivirus kyasanurense (Alkhumra hemorrhagic fever virus),Virus,RG4,RG4,No,No,,,2015-11-29 7:12,2024-07-02 18:13,Alkhumra hemorrhagic fever virus,172148
