"name","taxID","taxRank","taxLineage","Freq","cladeReads_mean","cladeReads_max","bracken_reads_mean","bracken_reads_max","RiskGroup","HOMD","HOMD.Category"
"Homo sapiens",9606,"S","r_root|k_Metazoa|p_Chordata|c_Mammalia|o_Primates|f_Hominidae|g_Homo|s_Homo sapiens",20,66784243.6,141688434,67609279.3,142722188,"NotAnnotated","NotAnnotated","NotAnnotated"
"Sphingomonas paucimobilis",13689,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingomonas|s_Sphingomonas paucimobilis",18,263914.894736842,1996785,337687.894736842,2469934,"RG2","NotAnnotated","NotAnnotated"
"Severe acute respiratory syndrome-related coronavirus",694009,"S","r_root|k_Orthornavirae|p_Pisuviricota|c_Pisoniviricetes|o_Nidovirales|f_Coronaviridae|g_Betacoronavirus|s_Severe acute respiratory syndrome-related coronavirus",17,3677261.7,38965787,3677261.7,38965787,"RG3","NotAnnotated","NotAnnotated"
"Escherichia coli",562,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Escherichia|s_Escherichia coli",14,46626.7,587668,5170793.25,57151558,"RG2","Gastrointestinal Tract (Abundance: Medium) | Unassigned","Microbiome"
"Cutibacterium acnes",1747,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Propionibacteriales|f_Propionibacteriaceae|g_Cutibacterium|s_Cutibacterium acnes",11,396.65,1039,1168.35,6476,"RG2","Nasal (Abundance: High) | Skin (Abundance: High)","Microbiome"
"Herbaspirillum huttiense",863372,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Oxalobacteraceae|g_Herbaspirillum|s_Herbaspirillum huttiense",11,28109.6,241474,141120.294117647,2108912,"RG1","NotAnnotated","NotAnnotated"
"Sphingomonas panni",237612,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingomonas|s_Sphingomonas panni",11,7227.58333333333,43112,26633.6153846154,141874,"NotAnnotated","NotAnnotated","NotAnnotated"
"Klebsiella pneumoniae",573,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Klebsiella|s_Klebsiella pneumoniae",10,4880.76470588235,48222,1636681.57894737,14075710,"RG2","Human-Associated, Primary Site Uncertain (Abundance: Medium) | Opportunistic Pathogen (Abundance: Scarce)","Opportunist"
"Sphingobium cloacae",120107,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingobium|s_Sphingobium cloacae",10,4119.66666666667,25081,10463.5,50340,"NotAnnotated","NotAnnotated","NotAnnotated"
"Sphingobium yanoikuyae",13690,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingobium|s_Sphingobium yanoikuyae",10,6373.27272727273,58151,20985.75,224831,"RG2","NotAnnotated","NotAnnotated"
"Sphingomonas hankookensis",563996,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingomonas|s_Sphingomonas hankookensis",10,1450.54545454545,7453,1940.75,10007,"NotAnnotated","NotAnnotated","NotAnnotated"
"Sphingomonas melonis",152682,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingomonas|s_Sphingomonas melonis",10,942.75,5102,2668.76923076923,15275,"NotAnnotated","NotAnnotated","NotAnnotated"
"Sphingomonas sanxanigenens",397260,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingomonas|s_Sphingomonas sanxanigenens",10,1298.3,6728,1473.08333333333,8487,"NotAnnotated","NotAnnotated","NotAnnotated"
"Fusobacterium pseudoperiodonticum",2663009,"S","r_root|k_Fusobacteriati|p_Fusobacteriota|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium pseudoperiodonticum",9,541689.5,4588293,1337625.88888889,12029154,"RG2","NotAnnotated","NotAnnotated"
